weekday freetime(h),weekday freetime(m),weekend freetime(h),weekend freetime(m),age,gender,area,최종 학력,job,household income,library,read place,choice_information,reading.activity,reading.club,read preference,read frequency,book_weekday(h),book_weekday(m),book_weekend(h),book_weekend(m),ebook_weekday(h),ebook_weekday(m),ebook_weekend(h),ebook_weekend(m)
3,0,5,0,19,1,1,6,12,7,1,,,1,1,4,5,0,0,0,0,0,0,0,0
4,0,12,0,19,1,1,4,3,7,1,3,4,1,1,3,1,0,0,0,0,1,0,0,30
2,0,3,0,19,2,1,6,12,5,1,1,1,1,1,3,2,1,0,1,0,0,30,0,30
2,0,4,0,19,2,1,6,12,8,1,7,7,1,2,3,3,0,30,0,0,0,0,0,0
3,30,5,0,19,2,1,6,12,6,1,2,4,1,2,3,2,0,10,0,20,0,20,0,30
4,0,4,0,19,2,1,6,12,5,1,1,4,1,2,1,1,2,0,3,0,0,0,0,0
2,0,4,0,20,1,1,6,12,7,1,,,1,2,3,5,0,0,0,0,0,0,0,0
3,0,5,0,20,1,1,4,5,4,1,1,1,1,2,3,2,0,0,3,0,0,0,0,0
4,0,6,0,20,2,1,6,12,5,1,1,1,1,2,3,2,0,20,0,0,0,0,0,0
2,30,4,0,21,1,1,6,12,5,1,1,1,2,1,3,2,0,30,0,30,0,30,1,0
4,0,12,0,21,1,1,6,12,6,1,1,4,2,2,2,2,1,0,2,0,1,0,2,0
4,0,12,0,21,1,1,6,12,6,1,1,4,2,2,2,2,1,0,2,0,1,0,2,0
2,0,5,0,21,2,1,4,5,4,1,6,5,2,2,3,2,0,20,0,20,0,0,0,0
2,30,5,0,21,2,1,6,12,5,1,1,1,2,2,2,2,0,20,1,0,1,0,2,0
3,0,4,0,21,2,1,6,12,7,1,3,1,2,2,3,1,0,0,0,0,0,20,0,20
3,0,5,0,21,2,1,6,12,4,1,1,5,2,2,4,2,0,10,0,10,0,0,0,0
2,0,4,0,22,1,1,6,12,5,1,1,2,2,2,2,2,0,30,1,0,1,0,1,0
3,0,4,0,22,1,1,4,5,5,1,1,1,2,2,3,3,1,0,2,0,0,0,0,0
1,30,3,0,22,2,1,6,12,5,1,1,4,2,2,1,1,1,0,2,0,1,0,2,0
2,0,4,0,22,2,1,5,12,6,1,,,2,2,4,5,0,0,0,0,0,0,0,0
3,0,5,0,22,2,1,6,12,5,1,1,5,2,2,2,3,0,0,0,0,1,0,1,0
3,0,6,0,22,2,1,6,12,5,1,1,5,2,2,2,2,0,30,0,0,0,0,0,0
3,0,6,0,22,2,1,6,12,6,1,4,1,2,2,2,2,0,30,0,30,0,30,0,30
4,0,6,0,22,2,1,4,5,2,1,,,2,2,5,5,0,0,0,0,0,0,0,0
1,0,4,0,23,1,1,6,12,6,1,3,5,2,2,3,2,0,30,0,0,0,0,0,0
2,0,3,0,23,1,1,6,12,5,1,4,4,2,2,2,2,1,0,1,0,1,0,2,0
2,0,4,0,23,1,1,6,12,8,1,4,7,2,2,3,3,0,0,1,0,0,0,0,0
2,0,4,0,23,1,1,6,12,7,1,2,1,2,2,3,1,0,30,1,0,1,0,1,30
2,0,4,0,23,1,1,6,12,5,1,1,2,2,2,2,2,0,30,1,0,1,0,1,30
3,0,10,0,23,1,1,4,5,7,1,3,5,2,2,3,2,0,20,0,50,0,30,0,40
3,0,4,0,23,1,1,4,7,7,1,6,4,2,2,5,2,2,0,2,0,0,0,0,0
3,0,5,0,23,1,1,6,3,6,1,3,1,2,2,2,2,0,0,0,0,2,0,3,0
4,0,7,0,23,1,1,6,12,1,1,7,1,2,2,2,4,0,20,1,0,0,0,0,0
4,0,8,0,23,1,1,4,11,5,1,,,2,2,4,5,0,0,0,0,0,0,0,0
5,0,7,0,23,1,1,6,12,5,1,1,8,2,2,2,2,0,0,0,0,1,0,0,0
1,30,2,30,23,2,1,6,12,6,1,1,1,2,2,2,2,0,30,1,0,1,0,2,0
1,30,3,0,23,2,1,6,12,6,1,1,1,2,2,2,2,0,30,1,0,1,0,2,0
1,30,3,0,23,2,1,6,12,5,1,1,4,2,2,1,1,1,0,2,0,1,0,2,0
4,0,5,0,23,2,1,6,12,7,1,1,7,2,2,2,3,0,30,0,30,0,0,0,0
2,0,10,0,24,1,1,6,3,8,1,1,5,2,2,3,4,0,0,0,20,0,0,0,20
3,0,6,0,24,1,1,4,5,5,1,,,2,2,5,5,0,0,0,0,0,0,0,0
3,30,5,0,24,1,1,6,12,8,1,7,7,2,2,3,2,0,20,0,0,0,30,0,0
5,0,6,0,24,1,1,4,3,6,1,1,6,2,2,2,2,0,30,1,0,1,0,1,0
7,0,7,0,24,1,1,5,14,6,1,,,2,2,4,5,0,0,0,0,0,0,0,0
3,0,8,0,24,2,1,5,3,8,1,1,5,2,2,4,3,0,0,0,0,0,0,0,20
4,0,8,0,24,2,1,6,3,8,1,3,7,2,2,2,2,0,15,0,20,0,20,0,20
1,0,4,0,25,1,1,6,5,6,1,7,7,2,2,2,2,0,0,0,0,0,0,2,0
1,30,3,0,25,1,1,6,12,6,1,2,1,2,2,2,1,0,20,0,30,1,0,1,0
3,0,3,0,25,1,1,7,12,8,1,1,7,2,2,3,4,0,0,1,0,0,0,0,0
3,0,3,0,25,1,1,6,14,5,1,1,6,2,2,3,2,0,30,1,0,0,0,0,0
3,0,4,0,25,1,1,4,7,7,1,,,2,2,5,5,0,0,0,0,0,0,0,0
3,0,5,0,25,1,1,6,3,5,1,3,4,2,2,3,1,0,0,0,0,0,20,0,0
3,0,5,0,25,1,1,4,14,6,1,1,6,2,2,2,2,0,0,1,0,1,0,2,0
3,0,5,0,25,1,1,5,8,4,1,1,7,2,2,3,2,0,20,0,20,0,0,0,0
3,0,6,0,25,1,1,6,3,6,1,1,1,2,2,2,3,0,0,0,0,0,0,1,0
3,0,6,0,25,1,1,6,12,2,1,1,4,2,2,3,4,0,0,0,30,0,0,0,0
