age,gender,area,최종.학력,job,household.income,library,read.place,choice_information,reading.activity,reading.club,read.preference,read.frequency,freetime_total,ebookmore
19,1,1,6,12,7,1,1,5,1,1,2,1,480,0
19,1,1,4,3,7,1,3,4,1,1,3,5,960,1
19,2,1,6,12,5,1,1,1,1,1,3,4,300,0
19,2,1,6,12,8,1,7,7,1,0,3,3,360,0
19,2,1,6,12,6,1,2,4,1,0,3,4,510,1
19,2,1,6,12,5,1,1,4,1,0,5,5,480,0
20,1,1,6,12,7,1,1,1,1,0,3,1,360,0
20,1,1,4,5,4,1,1,1,1,0,3,4,480,0
20,2,1,6,12,5,1,1,1,1,0,3,4,600,0
21,1,1,6,12,5,1,1,1,0,1,3,4,390,1
21,1,1,6,12,6,1,1,4,0,0,4,4,960,0
21,1,1,6,12,6,1,1,4,0,0,4,4,960,0
21,2,1,4,5,4,1,6,5,0,0,3,4,420,0
21,2,1,6,12,5,1,1,1,0,0,4,4,450,1
21,2,1,6,12,7,1,3,1,0,0,3,5,420,1
21,2,1,6,12,4,1,1,5,0,0,2,4,480,0
22,1,1,6,12,5,1,1,2,0,0,4,4,360,1
22,1,1,4,5,5,1,1,1,0,0,3,3,420,0
22,2,1,6,12,5,1,1,4,0,0,5,5,270,0
22,2,1,5,12,6,1,1,5,0,0,2,1,360,0
22,2,1,6,12,5,1,1,5,0,0,4,3,480,1
22,2,1,6,12,5,1,1,5,0,0,4,4,540,0
22,2,1,6,12,6,1,4,1,0,0,4,4,540,0
22,2,1,4,5,2,1,1,3,0,0,1,1,600,0
23,1,1,6,12,6,1,3,5,0,0,3,4,300,0
23,1,1,6,12,5,1,4,4,0,0,4,4,300,1
23,1,1,6,12,8,1,4,7,0,0,3,3,360,0
23,1,1,6,12,7,1,2,1,0,0,3,5,360,1
23,1,1,6,12,5,1,1,2,0,0,4,4,360,1
23,1,1,4,5,7,1,3,5,0,0,3,4,780,0
23,1,1,4,7,7,1,6,4,0,0,1,4,420,0
23,1,1,6,3,6,1,3,1,0,0,4,4,480,1
23,1,1,6,12,1,1,7,1,0,0,4,2,660,0
23,1,1,4,11,5,1,1,1,0,0,2,1,720,0
23,1,1,6,12,5,1,1,8,0,0,4,4,720,1
23,2,1,6,12,6,1,1,1,0,0,4,4,240,1
23,2,1,6,12,6,1,1,1,0,0,4,4,270,1
23,2,1,6,12,5,1,1,4,0,0,5,5,270,0
23,2,1,6,12,7,1,1,7,0,0,4,3,540,0
24,1,1,6,3,8,1,1,5,0,0,3,2,720,0
24,1,1,4,5,5,1,1,5,0,0,1,1,540,0
24,1,1,6,12,8,1,7,7,0,0,3,4,510,1
24,1,1,4,3,6,1,1,6,0,0,4,4,660,1
24,1,1,5,14,6,1,1,1,0,0,2,1,840,0
24,2,1,5,3,8,1,1,5,0,0,2,3,660,1
24,2,1,6,3,8,1,3,7,0,0,4,4,720,1
25,1,1,6,5,6,1,7,7,0,0,4,4,300,1
25,1,1,6,12,6,1,2,1,0,0,4,5,270,1
25,1,1,7,12,8,1,1,7,0,0,3,2,360,0
25,1,1,6,14,5,1,1,6,0,0,3,4,360,0
25,1,1,4,7,7,1,2,2,0,0,1,1,420,0
25,1,1,6,3,5,1,3,4,0,0,3,5,480,1
25,1,1,4,14,6,1,1,6,0,0,4,4,480,1
25,1,1,5,8,4,1,1,7,0,0,3,4,480,0
25,1,1,6,3,6,1,1,1,0,0,4,3,540,1
25,1,1,6,12,2,1,1,4,0,0,3,2,540,0
25,2,1,6,15,4,1,1,8,0,0,3,2,480,0
25,2,1,4,4,5,1,1,2,0,0,2,1,480,0
25,2,1,6,4,6,1,1,7,0,0,3,2,540,0
25,2,1,7,12,2,1,1,1,0,0,4,3,540,0
25,2,1,6,14,1,1,1,8,0,0,4,3,960,1
26,1,1,6,3,6,1,1,1,0,0,4,4,240,1
26,1,1,6,3,5,1,6,8,0,0,4,4,360,0
26,1,1,6,5,7,1,1,3,0,0,2,1,540,0
26,1,1,6,4,2,1,1,4,0,0,4,4,600,0
26,1,1,6,14,8,1,1,4,0,0,2,4,720,0
26,2,1,6,4,6,1,1,2,0,0,2,1,450,0
26,2,1,6,3,7,1,1,7,0,0,2,1,400,0
26,2,1,5,3,6,1,3,4,0,0,4,2,720,1
26,2,1,6,3,7,1,1,5,0,0,4,1,360,0
27,1,1,5,3,8,1,1,10,0,0,3,4,450,1
27,1,1,4,9,5,1,1,4,0,0,2,1,360,0
27,1,1,6,3,3,1,1,4,0,0,4,5,540,0
27,1,1,6,3,8,1,1,8,0,0,3,3,540,0
27,1,1,6,3,6,1,1,10,0,0,3,5,720,1
27,1,1,6,3,3,1,3,10,0,0,3,4,660,0
27,1,1,4,8,6,1,6,11,0,0,2,3,600,1
27,1,1,6,12,8,1,1,6,0,0,4,4,720,0
27,1,1,6,12,5,1,3,7,0,0,3,2,480,0
27,2,1,6,12,6,1,1,10,0,0,4,4,300,1
27,2,1,6,3,6,1,1,1,0,0,3,1,420,0
27,2,1,4,4,6,1,1,6,0,0,3,3,480,0
27,2,1,6,14,1,1,1,7,0,0,4,3,600,0
27,2,1,6,3,8,1,7,4,0,0,3,4,600,0
28,1,1,6,14,1,1,1,2,0,0,3,1,180,0
28,1,1,5,5,4,1,1,1,0,0,3,3,480,1
28,1,1,6,3,6,1,1,1,0,0,4,4,210,1
28,1,1,6,3,4,1,1,4,0,0,3,5,570,1
28,1,1,4,4,6,1,4,3,0,0,1,1,300,0
